FFB_No,Est_Volume_m3,Est_Mass_kg,Actual_Mass_kg
1,0.022,21.04,19.2
2,0.013,12.43,12.8
3,0.017,16.26,17.6
4,0.018,17.21,17.6
5,0.021,20.08,18.6
6,0.026,24.86,24.2
7,0.01,9.56,10.4
8,0.015,14.34,14.0
9,0.007,6.69,8.0
10,0.02,19.13,17.0
11,0.015,14.34,14.0
12,0.02,19.13,21.6
13,0.019,18.17,16.8
14,0.022,21.04,21.0
15,0.017,16.26,15.0
16,0.019,18.17,19.2
17,0.015,14.34,13.4
18,0.008,7.65,9.6
19,0.022,21.04,19.6
20,0.021,20.08,21.6
21,0.012,11.48,9.4
22,0.023,22.0,22.0
23,0.015,14.34,15.8
24,0.017,16.26,16.2
25,0.018,17.21,18.2
26,0.012,11.48,13.4
27,0.019,18.17,16.8
28,0.01,9.56,10.0
29,0.018,17.21,14.8
30,0.022,21.04,22.0
31,0.012,11.48,13.8
32,0.009,8.61,9.8
33,0.013,12.43,12.0
34,0.016,15.3,12.6
35,0.013,12.43,13.0
36,0.008,7.65,8.0
37,0.013,12.43,10.6
38,0.014,13.39,12.6
39,0.008,7.65,8.4
40,0.014,13.39,10.6
41,0.013,12.43,11.4
42,0.01,9.56,8.8
43,0.011,10.52,10.4
44,0.016,15.3,15.4
45,0.012,11.48,13.6
46,0.009,8.61,10.0
47,0.018,17.21,16.2
48,0.014,13.39,13.2
49,0.014,13.39,14.2
50,0.011,10.52,8.8
