FFB_No,Actual_Mass_kg,Width_cm,Length_cm,Thickness_cm,Actual_Volume_L,True_Density_kg_L
1,19.2,37,46,30,21,0.914
2,12.8,33,30.4,25,15,0.853
3,17.6,39.9,44,28.5,18,0.978
4,17.6,33.7,45.4,26.2,18,0.978
5,18.6,35.5,43.5,28.7,19,0.979
6,24.2,32,45.5,28,25,0.968
7,10.4,26,37,23,11,0.945
8,14,30,37.6,21.5,15,0.933
9,8,25,36,31,8,1.0
10,17,35,44,24,18,0.944
11,14,32,41.2,24,14,1.0
12,21.6,34,39.4,27.8,22,0.982
13,16.8,31.2,38.7,27.4,18,0.933
14,21,38.4,41.7,28.3,21,1.0
15,15,39.4,30.4,25.5,16,0.938
16,19.2,35.7,37,25.3,20,0.96
17,13.4,29.8,33.6,27.4,14,0.957
18,9.6,29.6,32.5,22.2,10,0.96
19,19.6,33.7,40.4,26.1,20,0.98
20,21.6,31.6,41.5,27.4,22,0.982
21,9.4,34.6,30,22.7,10,0.94
22,22,43.6,39.1,28.7,23,0.957
23,15.8,36.7,42,23.7,16,0.988
24,16.2,37.8,43,26.8,16,1.013
25,18.2,42.1,37.4,29,18,1.011
26,13.4,33.8,40.1,21.4,14,0.957
27,16.8,33.8,40.8,25.7,17,0.988
28,10,29.5,34,23.4,10,1.0
29,14.8,32.4,39.1,25.4,16,0.925
30,22,39.5,44,28.1,21,1.048
31,13.8,33.8,32.5,26,14,0.986
32,9.8,29.5,27,19.2,10,0.98
33,12,25.7,25,22.3,13,0.923
34,12.6,26.8,27.6,25.4,14,0.9
35,13,30.7,34.3,23.7,14,0.929
36,8,26.1,31.1,20.6,9,0.889
37,10.6,28.1,33.7,22.2,12,0.883
38,12.6,35.1,38.5,26.4,14,0.9
39,8.4,26.6,36.2,24.2,9,0.933
40,10.6,31.5,32,21.6,12,0.883
41,11.4,33.1,36.1,27,12,0.95
42,8.8,28.4,33,21.3,9,0.978
43,10.4,33.4,30.1,26.7,11,0.945
44,15.4,28.4,43.2,24.5,16,0.963
45,13.6,32.1,35.5,23.6,14,0.971
46,10,23.3,28,21.7,10,1.0
47,16.2,26.5,32.6,21.6,17,0.953
48,13.2,29.8,28.4,27.2,14,0.943
49,14.2,25.1,32.6,23.4,14,1.014
50,8.8,22.1,26.8,20.1,10,0.88
