model,step,scheme,mae,per_bunch_r2,missing,vs_first_diff,vs_first_lo,vs_first_hi,vs_first_p_not_better
per_session_k,v2_grid,LOO,1.6503909607621565,0.8138244174579171,0,,,,
per_session_k,v2_grid,4/7,1.9732227370467819,0.7698283870600832,100,,,,
per_session_k,v2_grid,7/4,1.6536119507531553,0.7856647089540721,0,,,,
per_session_k,tarp_plane_v2_mask,LOO,1.6191598064441428,0.6951510600298126,0,-0.03123115431801393,-0.8310128885101215,0.7369097733451832,0.4729
per_session_k,tarp_plane_v2_mask,4/7,1.8996452483754023,0.6983620791874441,100,-0.07357748867137945,-0.7338116123450588,0.5658916656004503,0.41605
per_session_k,tarp_plane_v2_mask,7/4,1.6944383463564932,0.6983932495321155,0,0.04082639560333815,-0.7206949330267456,0.7880234402181231,0.54295
per_session_k,plane_height_mask,LOO,1.0886573096674566,0.8470500931437094,0,-0.5617336510947001,-1.2176602423735425,0.08280928274083112,0.04475
per_session_k,plane_height_mask,4/7,1.25431824894543,0.8472234998254441,100,-0.7189044881013515,-1.344745622505955,-0.14994086798345968,0.0063
per_session_k,plane_height_mask,7/4,1.1357211764980535,0.8488438824357291,0,-0.5178907742551018,-1.1871931415995551,0.10328972770553771,0.05385
per_session_k,plane_height_mask_msac_lo,LOO,1.1326832683303094,0.8341639675349456,0,-0.5177076924318473,-1.1938789120613285,0.16051001195112655,0.06785
per_session_k,plane_height_mask_msac_lo,4/7,1.2999125038269455,0.8343065994819789,100,-0.6733102332198362,-1.317515606753121,-0.07941054233247459,0.0128
per_session_k,plane_height_mask_msac_lo,7/4,1.1787644421017267,0.8360755330080749,0,-0.47484750865142866,-1.1613251814314027,0.17644270127124337,0.08095
global_k,v2_grid,LOO,1.6033039991769165,0.8861081697190222,0,,,,
global_k,v2_grid,4/7,1.6593006325978827,0.8859144535459387,0,,,,
global_k,v2_grid,7/4,1.5925386617745347,0.8861281799137216,0,,,,
global_k,tarp_plane_v2_mask,LOO,2.6473035275507075,0.6981924281928517,0,1.043999528373791,-0.024788488982305006,2.1397656752173173,0.9726
global_k,tarp_plane_v2_mask,4/7,2.829692796655414,0.6989818411513494,0,1.1703921640575312,0.15218851257121974,2.1493565513787187,0.98925
global_k,tarp_plane_v2_mask,7/4,2.666292846406998,0.6993625345823243,0,1.0737541846324634,0.00951183781791214,2.1246982228402036,0.9762
global_k,plane_height_mask,LOO,1.1260174238297695,0.8649950349787024,0,-0.4772865753471467,-1.1755996472375683,0.25208513023370877,0.09925
global_k,plane_height_mask,4/7,1.2039247470516568,0.8662981135328643,0,-0.45537588554622577,-1.0720954108933465,0.16584615365380187,0.0757
global_k,plane_height_mask,7/4,1.1352057200774703,0.8661177738025906,0,-0.4573329416970644,-1.13713714420593,0.2245521194541158,0.09445
global_k,plane_height_mask_msac_lo,LOO,1.13706821590958,0.855515642530828,0,-0.4662357832673362,-1.1927418923215365,0.30187229369614144,0.1145
global_k,plane_height_mask_msac_lo,4/7,1.2298562815344338,0.8569473733069667,0,-0.4294443510634485,-1.0646428587949266,0.2156148149369567,0.0976
global_k,plane_height_mask_msac_lo,7/4,1.1557152960416277,0.8567317380511897,0,-0.43682336573290714,-1.1387800428789894,0.27170358541861883,0.1134
