h_min,band,global_LOO,global_4_7,per_session_LOO
0.02,0.02,5.680678887892835,4.808924738144654,4.571576929777798
0.02,0.03,1.2275695030776874,1.2817416736126201,1.1438313558867892
0.02,0.05,7.015657221946411,5.73335421184927,5.53305094606977
0.03,0.02,1.0396552914122281,1.1255596673467914,1.0608231674806565
0.03,0.03,1.1260174238297695,1.2039247470516568,1.0886573096674566
0.03,0.05,1.130309523385627,1.214423878740378,1.092861558125978
0.04,0.02,1.0093829374426893,1.1059234307770924,1.044157329556478
0.04,0.03,1.087371962952866,1.1781593259237588,1.0630873836555979
0.04,0.05,1.1078121359028414,1.2006250345927298,1.0850270912858386
0.05,0.02,1.008546302519974,1.107605586700704,1.0483270444140658
0.05,0.03,1.0910090928083165,1.181659552702987,1.0650106823148715
0.05,0.05,1.1139949810210823,1.2047480511139308,1.0883752583106792
