ffb,fusion,layout,width,fx,n_read,n_frames,mask_source,z_front,z_window,V_grid,z_ref,V_frustum,V_grid_pitch,grid_pitch_mm,mask_px,mask_holes,V_plane,H,area,tarp_depth,tilt_deg,plane_rmse_mm,seconds
FFB10,notebook,combined,1280,646.3,60,60,depth,1.2290000915527344,0.27,0.008313623052597046,1.406000018119812,0.009242022706836448,0.009067374188296938,2.319474149265775,28435,0.0,0.030252886150257133,0.270273856092917,0.16333322613690693,1.5494276073620954,2.398352521509854,2.732378123572858,1.1
FFB10,nan_blur,combined,1280,646.3,60,60,depth,1.2290000915527344,0.27,0.006568908977985382,1.3950001001358032,0.007186269835984972,0.00704515282453409,2.319474149265775,21984,0.0,0.024561910390673177,0.27111430327612007,0.12633942259889272,1.5489686652961634,2.4593715461682324,2.9457086160068737,0.8
FFB11,notebook,combined,1280,646.8,59,59,depth,1.2310000658035278,0.27,0.00667636194562912,1.4030001163482666,0.007472636765769439,0.007354396847597649,2.3206760465597216,27951,0.0,0.028634279115436586,0.24645847819891742,0.160508159121448,1.547949263668295,2.4320539618221675,3.989399214601618,1.0
FFB11,nan_blur,combined,1280,646.8,59,59,depth,1.2310000658035278,0.27,0.006687637949943542,1.4030001163482666,0.0074703377105242216,0.007356483746131293,2.3206760465597216,27951,0.0,0.02864017045098845,0.24652125885324705,0.16052163851829304,1.5479826293104095,2.4815501771218975,3.8978097480572913,1.2
FFB12,notebook,combined,1280,646.4,65,65,depth,1.2280000448226929,0.27,0.010033044231891632,1.3750001192092896,0.011024312756841221,0.010547231984640162,2.3172968746459364,30162,0.0,0.03643753813419486,0.302491053543426,0.17172062982811756,1.5466713442867905,2.5528669945664193,4.444724684384742,1.0
FFB12,nan_blur,combined,1280,646.4,65,65,depth,1.2280000448226929,0.27,0.010459210580825806,1.3790000677108765,0.011438688321337293,0.01097137544984928,2.3172968746459364,30099,0.0,0.03623919038694281,0.30186729526367956,0.17135126853063914,1.5465542502376326,2.60413126156316,4.4358570806165565,1.2
FFB17,notebook,combined,1280,647.3,95,95,depth,1.1535000801086426,0.27,0.00512641494846344,1.3480000495910645,0.005577872872259848,0.005329977353374384,2.199062874002507,21598,0.0,0.02558592786624641,0.30983939148251194,0.12155662458918165,1.5486442766910609,5.184011628129446,4.349592630570745,1.0
FFB17,nan_blur,combined,1280,647.3,95,95,depth,1.1380000114440918,0.27,0.0048566689434051515,1.3440001010894775,0.005267227776002324,0.005029133007553699,2.1751179329231207,21052,0.0,0.025145401343551182,0.3134703516612929,0.1184627453271527,1.5482798973651746,5.102627065954968,4.3341233896619356,1.0
FFB18,notebook,combined,1280,647.5,77,77,depth,1.2510000467300415,0.27,0.005864857992649078,1.4350000619888306,0.006731529334695842,0.006452016603705633,2.349046114014314,16371,0.0,0.015651346247282007,0.24060177621293694,0.09256528615481466,1.5493635991339356,4.961373487270103,3.944517681915849,0.8
FFB18,nan_blur,combined,1280,647.5,77,77,depth,1.249000072479248,0.27,0.005834297987937927,1.4350000619888306,0.006701822765133632,0.006447550374739989,2.3459573358436265,16200,0.0,0.015532594078853696,0.24073074140378292,0.09160373321750642,1.549379457782724,4.94012698797522,3.9344878659975207,1.0
