model,step,scheme,mae,per_bunch_r2,missing,vs_first_diff,vs_first_lo,vs_first_hi,vs_first_p_not_better
per_session_k,all_frames,LOO,1.0886573096674566,0.8470500931437094,0,,,,
per_session_k,all_frames,4/7,1.25431824894543,0.8472234998254441,100,,,,
per_session_k,all_frames,7/4,1.1357211764980535,0.8488438824357291,0,,,,
per_session_k,A_steady,LOO,1.030402766720123,0.8764442511023559,0,-0.058254542947333475,-0.24775721359403888,0.05704882294791367,0.32795
per_session_k,A_steady,4/7,1.200908567776684,0.8772432902206558,100,-0.05340968116874587,-0.2684344781245081,0.08495366911267405,0.3398
per_session_k,A_steady,7/4,1.0589994752878595,0.8780883393047386,0,-0.07672170121019392,-0.29255014148116487,0.06071067074445694,0.27365
per_session_k,B_steady_native,LOO,1.035072988846305,0.8698060841504346,0,-0.05358432082115154,-0.19266918042484515,0.03354016358362486,0.2539
per_session_k,B_steady_native,4/7,1.2208174198721158,0.8708116183742965,100,-0.03350082907331422,-0.20748463150398405,0.08267277029025862,0.36955
per_session_k,B_steady_native,7/4,1.076297643495478,0.8716014151432893,0,-0.059423533002575246,-0.2278714841817848,0.05374779750010146,0.2493
global_k,all_frames,LOO,1.1260174238297695,0.8649950349787024,0,,,,
global_k,all_frames,4/7,1.2039247470516568,0.8662981135328643,0,,,,
global_k,all_frames,7/4,1.1352057200774703,0.8661177738025906,0,,,,
global_k,A_steady,LOO,1.0429354834950835,0.8838521491231781,0,-0.08308194033468616,-0.3095033482958968,0.08586685958535518,0.22885
global_k,A_steady,4/7,1.1123125083514611,0.8846967879592916,0,-0.09161223870019557,-0.30934206509066503,0.05745219573500242,0.1929
global_k,A_steady,7/4,1.0392775402036718,0.8847407418763922,0,-0.09592817987379879,-0.32141234659178614,0.06479410707971814,0.18645
global_k,B_steady_native,LOO,0.9863627570906568,0.8820386282987259,0,-0.1396546667391128,-0.2988131413911783,-0.015148182034055857,0.00645
global_k,B_steady_native,4/7,1.0831743818943405,0.8830534516428666,0,-0.12075036515731637,-0.2592146592176633,-0.01814315681624729,0.00525
global_k,B_steady_native,7/4,1.0033265535284763,0.8830028238567317,0,-0.13187916654899381,-0.277327960820356,-0.017608228101928573,0.0063
