ffb,fusion,layout,frames_used,frames_read,V
FFB10,all_frames,combined,60,60,0.03273035340607427
FFB10,A_steady,combined,35,60,0.03279270124270389
FFB10,B_steady_native,combined,35,60,0.03244482339869847
FFB11,all_frames,combined,59,59,0.031238924114143276
FFB11,A_steady,combined,25,59,0.031457519090472175
FFB11,B_steady_native,combined,25,59,0.031023498939171463
FFB12,all_frames,combined,65,65,0.04398376508648807
FFB12,A_steady,combined,31,65,0.0433974239529445
FFB12,B_steady_native,combined,31,65,0.04286083026039669
FFB17,all_frames,combined,95,95,0.030224533398296158
FFB17,A_steady,combined,21,95,0.030644472516685513
FFB17,B_steady_native,combined,21,95,0.030137527508807303
FFB18,all_frames,combined,77,77,0.01879164846085499
FFB18,A_steady,combined,23,77,0.016915286102448523
FFB18,B_steady_native,combined,23,77,0.01674888553459838
FFB19,all_frames,combined,102,102,0.03480204328441333
FFB19,A_steady,combined,30,102,0.03657038640135733
FFB19,B_steady_native,combined,30,102,0.03562241908568165
FFB31,all_frames,split,32,32,0.02652221741360025
FFB31,A_steady,split,42,120,0.026634848951588578
FFB31,B_steady_native,split,42,120,0.026634848951588578
FFB32,all_frames,split,32,32,0.016724446330400548
FFB32,A_steady,split,46,120,0.016717522591767484
FFB32,B_steady_native,split,46,120,0.016717522591767484
FFB33,all_frames,split,32,32,0.02297962455864429
FFB33,A_steady,split,42,120,0.0229011997036574
FFB33,B_steady_native,split,42,120,0.0229011997036574
FFB34,all_frames,split,32,32,0.024606734997098947
FFB34,A_steady,split,47,120,0.02461422836538608
FFB34,B_steady_native,split,47,120,0.02461422836538608
FFB35,all_frames,split,32,32,0.02343280281477796
FFB35,A_steady,split,83,120,0.023386249409468075
FFB35,B_steady_native,split,83,120,0.023386249409468075
