model,step,scheme,mae,per_bunch_r2,missing,vs_first_diff,vs_first_lo,vs_first_hi,vs_first_p_not_better
per_session_k,S0_notebook,LOO,1.6503909607621565,0.8138244174579171,0,,,,
per_session_k,S0_notebook,4/7,1.9732227370467819,0.7698283870600832,100,,,,
per_session_k,S0_notebook,7/4,1.6536119507531553,0.7856647089540721,0,,,,
per_session_k,S1_steady_frames,LOO,1.5821786747473787,0.771443112556319,0,-0.06821228601477794,-0.481438949520023,0.1967967334502679,0.37935
per_session_k,S1_steady_frames,4/7,2.210326476214278,0.6726749400264025,100,0.2371037391674961,-0.2106377194804853,0.6587497188625395,0.85715
per_session_k,S1_steady_frames,7/4,1.8521980247417562,0.6995082156160513,0,0.19858607398860115,-0.3669703214067034,0.7997544866429238,0.74245
per_session_k,S2_nan_blur,LOO,2.293475269161403,0.6505932885796022,0,0.6430843083992466,-0.18812554605594003,1.4536743791068474,0.9375
per_session_k,S2_nan_blur,4/7,3.3452149230360035,0.41004834723224487,100,1.3719921859892223,0.4554466567505925,2.393268061723969,0.9991
per_session_k,S2_nan_blur,7/4,2.6908331798259457,0.5256768048580676,0,1.0372212290727905,0.13447751591960944,1.9196684679173353,0.98765
per_session_k,S3_frustum,LOO,2.439533709283519,0.6125110986232222,0,0.7891427485213631,-0.18452978847355148,1.7355048934246085,0.9455
per_session_k,S3_frustum,4/7,3.7560268147697444,0.3342195666471578,100,1.7828040777229623,0.7924130604260295,2.898424812075754,0.9999
per_session_k,S3_frustum,7/4,2.9800173544103226,0.46396084762788653,0,1.326405403657168,0.3691668149645353,2.2946290554882127,0.9973
per_session_k,S4_tarp_plane,LOO,1.6908263073282241,0.6712641719217509,0,0.04043534656606775,-0.8232464732324529,0.9660403056685294,0.52535
per_session_k,S4_tarp_plane,4/7,2.0604374034628696,0.6620348463329406,100,0.08721466641608795,-0.5987182242219369,0.7948697132825392,0.5921
per_session_k,S4_tarp_plane,7/4,1.805657250697519,0.672111312316433,0,0.1520452999443637,-0.6462961713230575,1.0124659463372636,0.6319
per_session_k,S5_unaligned_depth,LOO,1.7827456068118852,0.6661153083100638,0,0.1323546460497286,-0.8024188932592867,1.1194042534490802,0.596
per_session_k,S5_unaligned_depth,4/7,2.114328494826167,0.6585149717037636,100,0.14110575777938533,-0.6518974263590769,0.9546620238815693,0.62965
per_session_k,S5_unaligned_depth,7/4,1.8558584946719194,0.6670188828024515,0,0.20224654391876404,-0.7199008006342738,1.17535747810899,0.65405
global_k,S0_notebook,LOO,1.6033039991769165,0.8861081697190222,0,,,,
global_k,S0_notebook,4/7,1.6593006325978827,0.8859144535459387,0,,,,
global_k,S0_notebook,7/4,1.5925386617745347,0.8861281799137216,0,,,,
global_k,S1_steady_frames,LOO,1.4300262173451384,0.8415458614907108,0,-0.17327778183177794,-0.47583084501887474,0.06792916643314734,0.0991
global_k,S1_steady_frames,4/7,1.7867464728234137,0.8422086386799515,0,0.12744584022553113,-0.2043815643532228,0.40224594935608654,0.79595
global_k,S1_steady_frames,7/4,1.5839102987880973,0.8411766299064171,0,-0.008628362986437637,-0.46950985268832224,0.3911050936090264,0.50395
global_k,S2_nan_blur,LOO,2.2818690727466158,0.8049830541230399,0,0.6785650735697001,-0.471507830427117,1.9605954687989147,0.8682
global_k,S2_nan_blur,4/7,2.7241009693165363,0.8051171498371759,0,1.0648003367186543,0.07234039763492299,2.2517966497629858,0.98415
global_k,S2_nan_blur,7/4,2.503518199950986,0.8033937811044221,0,0.9109795381764514,-0.17873316400157635,2.206664321745829,0.93915
global_k,S3_frustum,LOO,5.8406458822476335,0.000941233327740917,0,4.237341883070718,2.553202779611088,6.010920703971874,1.0
global_k,S3_frustum,4/7,5.802824974494003,0.0016396948194057688,0,4.1435243418961205,2.502925662778491,5.873779242184626,1.0
global_k,S3_frustum,7/4,5.780422526330232,0.001384963468721603,0,4.187883864555696,2.585928596932059,5.875604447346554,1.0
global_k,S4_tarp_plane,LOO,3.2630121223956814,0.7252932858034511,0,1.6597081232187652,0.5616760765857678,2.9915813992223015,0.99945
global_k,S4_tarp_plane,4/7,3.463640691559669,0.7238541190333204,0,1.804340058961786,0.7587453229940706,2.9882769607233564,0.99995
global_k,S4_tarp_plane,7/4,3.2885253194194335,0.7253846079342462,0,1.6959866576448992,0.5960726259932556,2.9678128501773005,0.9994
global_k,S5_unaligned_depth,LOO,2.691483569504979,0.749062910418899,0,1.0881795703280628,-0.1352907955353849,2.4877990087885213,0.95625
global_k,S5_unaligned_depth,4/7,2.847293913271778,0.7486543229232883,0,1.1879932806738953,0.004323383125582373,2.5050598656052765,0.9754
global_k,S5_unaligned_depth,7/4,2.7013134392623614,0.7494290624320367,0,1.1087747774878267,-0.13991843450250988,2.4880596483081243,0.9566
aV+b,S0_notebook,LOO,1.213980133887081,0.8536654090364559,0,,,,
aV+b,S0_notebook,4/7,2.0969464081767315,0.8239394630713869,0,,,,
aV+b,S0_notebook,7/4,1.4397875944155878,0.844860693202775,0,,,,
aV+b,S1_steady_frames,LOO,1.5509510810141083,0.7750854571237682,0,0.3369709471270272,0.07007808581303865,0.6624705617116764,0.9984
aV+b,S1_steady_frames,4/7,2.340224815962128,0.7410329610345894,0,0.24327840778539683,-0.009178880753451394,0.5087110053032201,0.9695
aV+b,S1_steady_frames,7/4,1.725316147105128,0.742641066681177,0,0.2855285526895403,-0.17921558030124948,0.8943990040068878,0.84235
aV+b,S2_nan_blur,LOO,1.6204625459622868,0.7057150326821727,0,0.4064824120752057,-0.020144060802897455,0.9242617696337017,0.9683
aV+b,S2_nan_blur,4/7,2.518444236554702,0.682048068375849,0,0.42149782837797056,-0.013866796050008503,0.9189376249518196,0.97045
aV+b,S2_nan_blur,7/4,1.7872178090869588,0.6731730587847244,0,0.3474302146713713,-0.3058786753534477,1.1367665596321301,0.81845
aV+b,S3_frustum,LOO,3.5530833005539946,0.3371731373347889,0,2.3391031666669138,1.043058145834584,3.701976502889658,1.0
aV+b,S3_frustum,4/7,4.577252415132512,0.0665358784948056,0,2.480306006955781,1.4450405508772002,3.5625912510703177,1.0
aV+b,S3_frustum,7/4,3.6293726594110565,0.1684267893978343,0,2.1895850649954687,1.1077656777872678,3.36311573941317,1.0
aV+b,S4_tarp_plane,LOO,1.8805124995032945,0.5965523664563644,0,0.6665323656162137,-0.16782927929851407,1.4118455862112045,0.9447
aV+b,S4_tarp_plane,4/7,2.555196922177735,0.5988811846409047,0,0.4582505140010037,-0.08419409218625197,1.0762013286819196,0.94455
aV+b,S4_tarp_plane,7/4,2.015179725812997,0.6108987359975777,0,0.5753921313974095,-0.0792139858318719,1.288886189734942,0.95465
aV+b,S5_unaligned_depth,LOO,1.7509207910954139,0.6383248906214435,0,0.5369406572083326,-0.24199375825419367,1.270675629179645,0.9134
aV+b,S5_unaligned_depth,4/7,2.3239533342132783,0.6484318667021927,0,0.22700692603654682,-0.3816278270517064,0.9749404835349187,0.71735
aV+b,S5_unaligned_depth,7/4,1.8516333851887303,0.651267279818517,0,0.41184579077314254,-0.2849906036114813,1.2220481737541269,0.8533
aV+bH,S0_notebook,LOO,1.040509127539575,0.889600216284039,0,,,,
aV+bH,S0_notebook,4/7,1.6479258920590492,0.8824954856530463,0,,,,
aV+bH,S0_notebook,7/4,1.1657968547769277,0.8868734461124451,0,,,,
aV+bH,S1_steady_frames,LOO,1.44145669695338,0.7954210697327826,0,0.4009475694138048,0.13173556111779255,0.7132200931915529,1.0
aV+bH,S1_steady_frames,4/7,1.9757256678856656,0.77406679503555,0,0.3277997758266162,0.051770100915111736,0.6779874346294331,0.99295
aV+bH,S1_steady_frames,7/4,1.5556149483738215,0.7730198490351408,0,0.3898180935968938,-0.07223906216726007,0.956936214936994,0.94055
aV+bH,S2_nan_blur,LOO,1.5565335455061564,0.7322484906403256,0,0.5160244179665814,0.009519938095242658,1.096180357941886,0.97775
aV+bH,S2_nan_blur,4/7,2.0998949394565134,0.7079134719140698,0,0.4519690473974641,0.01605652775261077,0.8876792434825527,0.97905
aV+bH,S2_nan_blur,7/4,1.6525100646813233,0.7088726378397414,0,0.4867132099043954,-0.1279908021071972,1.1645392868972182,0.93205
aV+bH,S3_frustum,LOO,2.40646298664427,0.3305668740033074,0,1.365953859104695,0.4291682740623705,2.3613144583975036,0.9991
aV+bH,S3_frustum,4/7,3.492703961580973,0.23199337807123915,0,1.8447780695219245,1.1130026861663342,2.589821829209633,1.0
aV+bH,S3_frustum,7/4,2.521181204093394,0.33572657293775415,0,1.3553843493164663,0.6364160104909902,2.1634167948260195,1.0
aV+bH,S4_tarp_plane,LOO,1.67956645761381,0.6513658019204762,0,0.6390573300742352,-0.15784308091780533,1.4197529297230802,0.9424
aV+bH,S4_tarp_plane,4/7,2.77500985884197,0.6112708907956963,0,1.127083966782921,0.3903509119253161,1.840350690113086,0.9989
aV+bH,S4_tarp_plane,7/4,1.8304802112393053,0.6589709417090442,0,0.6646833564623773,-0.023456639752679784,1.4247744097147252,0.9693
aV+bH,S5_unaligned_depth,LOO,1.6186886410636596,0.697278467218197,0,0.5781795135240847,-0.13202321223754215,1.2646808717031643,0.9438
aV+bH,S5_unaligned_depth,4/7,2.4153599211298227,0.6899229266113592,0,0.7674340290707737,0.10702839998497134,1.4658307138531979,0.9897
aV+bH,S5_unaligned_depth,7/4,1.7160806649391145,0.7050066567156674,0,0.5502838101621869,-0.11180980283027904,1.2918967250923823,0.9416
