ffb,layout,seconds,rs_over_moge_tarp_depth,V_moge,V_moge_scaled,V_rs,H_moge_scaled,H_rs,plane_rmse_moge_mm,true_L,T_cal_cm
FFB10,combined,25.9,0.789030909538269,0.07490750247743576,0.03679288767320591,0.0269520517292857,0.34594479038987364,0.2700071803972205,2.3953076940799902,18,24.0
FFB11,combined,27.6,0.825404167175293,0.06704437314883435,0.03766510662015404,0.0266885315135966,0.3549626325417913,0.2470414992567954,3.168300961035927,14,24.0
FFB12,combined,29.2,0.8607286214828491,0.07935505042922568,0.0505533762598551,0.0359161496960512,0.4105358286674303,0.3003131953620458,3.6807663555537578,22,27.8
FFB17,combined,29.5,0.7382063865661621,0.06574305260317932,0.026485704217368893,0.0209806600894474,0.2900807063621176,0.2912400125157964,3.378415593070296,14,27.4
FFB18,combined,31.2,0.5571573972702026,0.1045544746774892,0.018079903069895455,0.0144371803125473,0.27307432393436637,0.2404613649242894,2.042100165011226,10,22.2
FFB19,combined,32.2,0.7062429785728455,0.05993264908865652,0.021227354928470287,0.0275887819260794,0.18283450719452635,0.283310085564823,3.957085887198483,20,26.1
FFB31,split,31.5,0.5728968977928162,0.13073295446939553,0.0246208284787371,0.0145558457421336,0.24953259133496303,0.2455379985964541,3.835770332148279,14,26.0
FFB32,split,31.8,0.6700286269187927,0.05153591518511709,0.015502083384292311,0.0128243349280246,0.2521999356841609,0.2126071994008045,1.948972683682417,10,19.2
FFB33,split,32.5,0.6862461566925049,0.01526056130990091,0.004924233255965826,0.0146731723846146,0.07693742431635175,0.2366443088151721,2.686481092439789,13,22.3
FFB34,split,33.2,0.6505464315414429,0.05942618794060269,0.016360619890233984,0.0157446778341039,0.21162467106578114,0.2522010396672901,2.4946379853125644,14,25.4
FFB35,split,33.1,0.7627948522567749,0.0358222101222177,0.015898504532241734,0.0108882371475303,0.23676004630308217,0.2362041433682227,2.5570493931279,14,23.7
