ffb,actual_kg,S0_notebook:per_session_k,S0_notebook:global_k,S4_tarp_plane:per_session_k,S4_tarp_plane:global_k,S5_unaligned_depth:per_session_k,S5_unaligned_depth:global_k
FFB10,17.0,18.742,19.219,16.788,18.711,16.585,18.223
FFB11,14.0,14.863,15.283,16.302,18.004,17.052,18.524
FFB12,21.6,22.413,23.12,21.873,24.692,22.498,24.918
FFB17,13.4,11.123,11.521,14.449,15.971,12.916,14.108
FFB19,19.6,17.893,18.632,16.35,18.41,16.444,18.259
FFB31,13.8,12.348,11.745,12.517,8.665,12.517,9.56
FFB32,9.8,7.42,7.071,11.584,7.74,11.584,8.542
FFB33,12.0,15.093,13.484,13.166,8.805,13.166,9.722
FFB34,12.6,11.423,10.82,14.281,9.44,14.281,10.429
FFB35,13.0,14.0,12.884,9.092,6.489,9.092,7.147
