ffb,fusion,layout,true_L,V_plane_v2mask,V_plane_ph,V_plane_ph_msac,tarp_m,V_grid
FFB10,notebook,combined,18,0.030252886150257133,0.03273035340607427,0.032611990942347686,1.5513395808919968,0.008313623052597046
FFB11,notebook,combined,14,0.028634279115436586,0.031238924114143276,0.03128183892375098,1.5500649308225753,0.00667636194562912
FFB12,notebook,combined,22,0.03643753813419486,0.04398376508648807,0.04393043438396595,1.5511314025543521,0.010033044231891632
FFB17,notebook,combined,14,0.02558592786624641,0.030224533398296158,0.030072176375932375,1.5524896079567727,0.00512641494846344
FFB18,notebook,combined,10,0.015651346247282007,0.01879164846085499,0.01873793888553826,1.5554884952528643,0.005864857992649078
FFB19,notebook,combined,20,0.030418186860292098,0.03480204328441333,0.034332505875176576,1.557050199030654,0.008276699234962463
FFB31,notebook,split,14,0.01447269419109479,0.02652221741360025,0.02647378950039024,1.5595266370553935,0.005231971440315246
FFB32,notebook,split,10,0.014872058563858226,0.016724446330400548,0.01673007751360468,1.552807714030852,0.0031429325704574584
FFB33,notebook,split,13,0.015456345359737812,0.02297962455864429,0.02305847968425936,1.5512937078537565,0.005889370485305786
FFB34,notebook,split,14,0.0157770512614125,0.024606734997098947,0.024683074222027614,1.5641338033093566,0.004809051558494567
FFB35,notebook,split,14,0.014614929660326076,0.02343280281477796,0.023384361877767355,1.568057739491022,0.005680918890953064
